STDID,STD_NAME,SEX,PERCENTAGE,SEC,STREAM_,DOB
1001,SAKSHI,F,23,S,A,2004-10-20
1002,AADHYA,F,45,C,A,2002-02-02
1003,HIRVA,F,67,C,B,2004-02-03
1004,MALHAR,M,80,S,B,2020-01-09
1005,SHREYA,F,87,S,D,2013-03-10
1006,KHUSHI,F,56,C,D,2017-10-10
1007,AASTHA,F,62,C,C,2009-08-08
1008,SAPNA,F,56,S,B,2010-11-11
1009,KHYATI,F,78,S,D,2015-07-07
1010,NIYATI,F,55,C,A,1999-05-05
1011,APEKSHA,F,45,C,A,2000-04-10
1012,SHIVANI,F,78,S,B,2001-07-09
1013,HIMANI,F,46,C,C,2021-01-06
1014,VIDHAN,M,87,S,D,2015-04-05
1015,NEHA,F,65,S,C,2011-11-11
